#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50	0.025	-111052.668164	25086.5084972	-85966.1596668	282.602901813	0
100	0.05	-107915.080358	26467.4858379	-81447.5945201	298.159797818	3.16
150	0.075	-106265.12151	26239.245116	-80025.8763945	295.588635302	3.18
200	0.1	-105538.732296	26933.8299723	-78604.9023239	303.413227391	3.18
250	0.125	-105538.641034	26784.7969276	-78753.8441068	301.734350042	3.17
300	0.15	-104227.710331	26541.0711275	-77686.6392036	298.98874603	3.17
350	0.175	-104027.570554	27260.7488564	-76766.8216976	307.096012715	3.17
400	0.2	-103985.799731	27009.1620523	-76976.6376787	304.261853433	3.16
450	0.225	-103816.243246	26689.8430939	-77126.4001526	300.664682298	3.16
500	0.25	-104142.444476	26801.4115763	-77341.0329001	301.9215163	3.16
